objectid,title,creator,date,description,subject,location,source,type,format,object_location,display_template,image_alt_text
2490,,Frustula,,Sandy-gray,Frustula,Spelman,,Image;StillImage,image/jpeg,/objects/IMG_2490 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2490.HEIC
2494,,Frustula,,Red,Frustula,Spelman,,Image;StillImage,image/jpeg,/objects/IMG_2494 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2494.HEIC
2491,,Frustula,,Sandy-gray,Frustula,Spelman,,Image;StillImage,image/jpeg,/objects/IMG_2491 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2491.HEIC
2516,,Frustula,,Sandy-gray,Frustula,Spelman,,Image;StillImage,image/jpeg,/objects/IMG_2516 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2516.HEIC
2495,,Frustula,,Red,Frustula,Spelman,,Image;StillImage,image/jpeg,/objects/IMG_2495 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2495.HEIC
2515,,Frustula,,Red,Frustula,Spelman,,Image;StillImage,image/jpeg,/objects/IMG_2515 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2515.HEIC
2453,Three Families (A Memorial Piece with Scars),Shacks,1990,,Three Families (A Memorial Piece with Scars),Spelman,"Wood, Paint",Image;StillImage,image/jpeg,/objects/IMG_2453 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2453.HEIC
2484,Three Families (A Memorial Piece with Scars),Shacks,1990,,Three Families (A Memorial Piece with Scars),Spelman,"Wood, Paint",Image;StillImage,image/jpeg,/objects/IMG_2484 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2484.HEIC
6303,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,/objects/IMG_6303 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6303.HEIC
6304,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,/objects/IMG_6304 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6304.HEIC
6305,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,/objects/IMG_6305 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6305.HEIC
6306,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,/objects/IMG_6306 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6306.HEIC
6307,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,/objects/IMG_6307 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6307.HEIC
6308,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,/objects/IMG_6308 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6308.HEIC
6309,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,/objects/IMG_6309 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6309.HEIC
6310,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,/objects/IMG_6310 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6310.HEIC
6311,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,/objects/IMG_6311 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6311.HEIC
6312,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,/objects/IMG_6312 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6312.HEIC
6313,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,/objects/IMG_6313 Small.jpeg,image,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6313.HEIC
