objectid,title,creator,date,description,subject,location,source,type,format,object_location,image_thumb
2490,,Frustula,,Sandy-gray,Frustula,Spelman,,Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2490.HEIC,/objects/IMG_2490 Small.jpeg
2494,,Frustula,,Red,Frustula,Spelman,,Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2494.HEIC,/objects/IMG_2494 Small.jpeg
2491,,Frustula,,Sandy-gray,Frustula,Spelman,,Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2491.HEIC,/objects/IMG_2491 Small.jpeg
2516,,Frustula,,Sandy-gray,Frustula,Spelman,,Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2516.HEIC,/objects/IMG_2516 Small.jpeg
2495,,Frustula,,Red,Frustula,Spelman,,Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2495.HEIC,/objects/IMG_2495 Small.jpeg
2515,,Frustula,,Red,Frustula,Spelman,,Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2515.HEIC,/objects/IMG_2515 Small.jpeg
2453,Three Families (A Memorial Piece with Scars),Shacks,1990,,Three Families (A Memorial Piece with Scars),Spelman,"Wood, Paint",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2453.HEIC,/objects/IMG_2453 Small.jpeg
2484,Three Families (A Memorial Piece with Scars),Shacks,1990,,Three Families (A Memorial Piece with Scars),Spelman,"Wood, Paint",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Spelman/IMG_2484.HEIC,/objects/IMG_2484 Small.jpeg
6303,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6303.HEIC,/objects/IMG_6303 Small.jpeg
6304,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6304.HEIC,/objects/IMG_6304 Small.jpeg
6305,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6305.HEIC,/objects/IMG_6305 Small.jpeg
6306,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6306.HEIC,/objects/IMG_6306 Small.jpeg
6307,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6307.HEIC,/objects/IMG_6307 Small.jpeg
6308,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6308.HEIC,/objects/IMG_6308 Small.jpeg
6309,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6309.HEIC,/objects/IMG_6309 Small.jpeg
6310,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6310.HEIC,/objects/IMG_6310 Small.jpeg
6311,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6311.HEIC,/objects/IMG_6311 Small.jpeg
6312,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6312.HEIC,/objects/IMG_6312 Small.jpeg
6313,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6313.HEIC,/objects/IMG_6313 Small.jpeg
6314,"My Garden, Early Spring",Other?,2000,,"My Garden, Early Spring",Oconee Cultural Arts Foundation,"Paint, Canvas",Image;StillImage,image/jpeg,https://www.dropbox.com/home/Beverly Buchanan Digital Repository (WIP)/BB_Archive/Test Dropbox to Drive/Oconee Cultural Arts Foundation/My Garden Early Spring/IMG_6314.HEIC,/objects/IMG_6314 Small.jpeg
